,nome,DURACAO,tempo,MODOPRIN,diferenca,diferenca_por,tempo_open
762,23151,30.0,38.599999999999994,bike,8.599999999999994,28.666666666666647,1474.2
342,23483,10.0,10.8,bike,0.8000000000000007,8.000000000000007,430.9
281,23484,15.0,9.458333333333332,bike,5.541666666666668,36.94444444444445,510.8
286,23486,10.0,9.616666666666667,bike,0.38333333333333286,3.833333333333329,430.9
328,23487,15.0,10.591666666666667,bike,4.408333333333333,29.388888888888886,510.8
382,23562,30.0,12.133333333333333,bike,17.866666666666667,59.555555555555564,840.9
375,23563,30.0,11.925,bike,18.075,60.24999999999999,790.5
116,23668,10.0,5.133333333333334,bike,4.866666666666666,48.666666666666664,276.8
142,23669,10.0,5.983333333333333,bike,4.016666666666667,40.166666666666664,333.0
94,23670,10.0,4.533333333333333,bike,5.466666666666667,54.666666666666664,276.8
100,23671,10.0,4.8583333333333325,bike,5.1416666666666675,51.41666666666668,333.0
91,23873,30.0,4.45,bike,25.55,85.16666666666667,292.1
68,23874,30.0,3.7666666666666666,bike,26.233333333333334,87.44444444444444,338.1
87,23875,30.0,4.383333333333333,bike,25.616666666666667,85.38888888888889,292.1
117,23876,30.0,5.175,bike,24.825,82.75,338.1
98,23878,30.0,4.75,bike,25.25,84.16666666666667,292.1
99,23879,30.0,4.85,bike,25.15,83.83333333333333,338.1
